medfile	rat	session	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	intakeL	intakeR
!2018-05-19_13h18m.Subject QPP1.5196	5196	s2	1	PR	19/05/2018		MaltodextrinCH		4554	4554		24
!2018-05-19_13h18m.Subject QPP1.5197	5197	s2	2	PR	19/05/2018		CaseinCH		2058	2058		14
!2018-05-19_13h18m.Subject QPP1.5207	5207	s2	3	NR	19/05/2018		MaltodextrinCH		3399	3399		17
!2018-05-19_13h18m.Subject QPP1.5208	5208	s2	4	NR	19/05/2018		CaseinCH		2686	2686		14
!2018-05-19_14h25m.Subject QPP1.5209	5209	s3	1	NR	19/05/2018		MaltodextrinCH		5667	5667		18
!2018-05-19_14h25m.Subject QPP1.5210	5210	s3	2	NR	19/05/2018		CaseinCH		5086	5086		16
!2018-05-19_14h25m.Subject QPP1.5211	5211	s3	3	PR	19/05/2018		MaltodextrinCH		2398	2398		10
!2018-05-19_14h25m.Subject QPP1.5212	5212	s3	4	PR	19/05/2018		CaseinCH		3471	3471		27
!2018-05-19_15h31m.Subject QPP1.5213	5213	s4	1	PR	19/05/2018		MaltodextrinCH		2729	2729		13
!2018-05-19_15h31m.Subject QPP1.5214	5214	s4	2	PR	19/05/2018		CaseinCH		2051	2051		15
!2018-05-19_15h31m.Subject QPP1.5215	5215	s4	3	NR	19/05/2018		MaltodextrinCH		4417	4417		30
!2018-05-19_15h31m.Subject QPP1.5217	5217	s4	4	NR	19/05/2018		CaseinCH		3008	3008		16
!2018-05-20_12h10m.Subject QPP.5190	5190	s1	1	NR	20/05/2018	CaseinGR		2917		2917	11	
!2018-05-20_12h10m.Subject QPP.5191	5191	s1	2	NR	20/05/2018	MaltodextrinGR		2435		2435	16	
!2018-05-20_12h10m.Subject QPP.5194	5194	s1	3	PR	20/05/2018	CaseinGR		2430		2430	10	
!2018-05-20_12h10m.Subject QPP.5195	5195	s1	4	PR	20/05/2018	MaltodextrinGR		2916		2916	16	
!2018-05-20_13h18m.Subject QPP1.5196	5196	s2	1	PR	20/05/2018	CaseinGR		2799		2799	20	
!2018-05-20_13h18m.Subject QPP1.5197	5197	s2	2	PR	20/05/2018	MaltodextrinGR		2655		2655	24	
!2018-05-20_13h18m.Subject QPP1.5207	5207	s2	3	NR	20/05/2018	CaseinGR		3768		3768	23	
!2018-05-20_13h18m.Subject QPP1.5208	5208	s2	4	NR	20/05/2018	MaltodextrinGR		3021		3021	26	
!2018-05-20_14h25m.Subject QPP1.5209	5209	s3	1	NR	20/05/2018	CaseinGR		2019		2019	15	
!2018-05-20_14h25m.Subject QPP1.5210	5210	s3	2	NR	20/05/2018	MaltodextrinGR		4891		4891	18	
!2018-05-20_14h25m.Subject QPP1.5211	5211	s3	3	PR	20/05/2018	CaseinGR		4339		4339	24	
!2018-05-20_14h25m.Subject QPP1.5212	5212	s3	4	PR	20/05/2018	MaltodextrinGR		4045		4045	32	
!2018-05-20_15h33m.Subject QPP1.5213	5213	s4	1	PR	20/05/2018	CaseinGR		4349		4349	28	
!2018-05-20_15h33m.Subject QPP1.5214	5214	s4	2	PR	20/05/2018	MaltodextrinGR		3453		3453	22	
!2018-05-20_15h33m.Subject QPP1.5215	5215	s4	3	NR	20/05/2018	CaseinGR		3469		3469	13	
!2018-05-20_15h33m.Subject QPP1.5217	5217	s4	4	NR	20/05/2018	MaltodextrinGR		4349		4349	23	
!2018-05-21_12h17m.Subject QPP1.5190	5190	s1	1	NR	21/05/2018	CaseinGR	MaltodextrinCH	1103	1446	2549	15	13
!2018-05-21_12h17m.Subject QPP1.5191	5191	s1	2	NR	21/05/2018	CaseinCH	MaltodextrinGR	1789	39	1828	13	1
!2018-05-21_12h17m.Subject QPP1.5194	5194	s1	3	PR	21/05/2018	MaltodextrinCH	CaseinGR	1704	2058	3762	6	11
!2018-05-21_12h17m.Subject QPP1.5195	5195	s1	4	PR	21/05/2018	MaltodextrinGR	CaseinCH	233	4189	4422	1	17
!2018-05-21_13h55m.Subject QPP1.5196	5196	s2	1	PR	21/05/2018	CaseinGR	MaltodextrinCH	3060	96	3156	24	1
!2018-05-21_13h55m.Subject QPP1.5197	5197	s2	2	PR	21/05/2018	CaseinCH	MaltodextrinGR	2001	618	2619	20	1
!2018-05-21_13h55m.Subject QPP1.5207	5207	s2	3	NR	21/05/2018	MaltodextrinCH	CaseinGR	532	2780	3312	4	13
!2018-05-21_13h55m.Subject QPP1.5208	5208	s2	4	NR	21/05/2018	MaltodextrinGR	CaseinCH	1191	4261	5452	5	22
!2018-05-21_15h04m.Subject QPP1.5209	5209	s3	1	NR	21/05/2018	CaseinGR	MaltodextrinCH	2851	904	3755	16	4
!2018-05-21_15h04m.Subject QPP1.5210	5210	s3	2	NR	21/05/2018	CaseinCH	MaltodextrinGR	3635	2059	5694	16	7
!2018-05-21_15h04m.Subject QPP1.5211	5211	s3	3	PR	21/05/2018	MaltodextrinCH	CaseinGR	1532	2746	4278	9	18
!2018-05-21_15h04m.Subject QPP1.5212	5212	s3	4	PR	21/05/2018	MaltodextrinGR	CaseinCH	300	5294	5594	1	27
!2018-05-21_16h15m.Subject QPP1.5213	5213	s4	1	PR	21/05/2018	CaseinGR	MaltodextrinCH	3534	487	4021	27	2
!2018-05-21_16h15m.Subject QPP1.5214	5214	s4	2	PR	21/05/2018	CaseinCH	MaltodextrinGR	370	99	469	11	0
!2018-05-21_16h15m.Subject QPP1.5215	5215	s4	3	NR	21/05/2018	MaltodextrinCH	CaseinGR	2777	3495	6272	20	23
!2018-05-21_16h15m.Subject QPP1.5217	5217	s4	4	NR	21/05/2018	MaltodextrinGR	CaseinCH	657	3825	4482	1	23
	5190	s1	1	NR	22/05/2018	CaseinGR	MaltodextrinCH	1450	2445	3895	8	20
	5191	s1	2	NR	22/05/2018	CaseinCH	MaltodextrinGR	2792	2003	4795	16	11
	5194	s1	3	PR	22/05/2018	MaltodextrinCH	CaseinGR	1685	1237	2922	10	7
	5195	s1	4	PR	22/05/2018	MaltodextrinGR	CaseinCH	1936	3497	5433	8	23
	5196	s2	1	PR	22/05/2018	CaseinGR	MaltodextrinCH	3316	65	3381	25	1
	5197	s2	2	PR	22/05/2018	CaseinCH	MaltodextrinGR	1337	1714	3051	18	6
	5207	s2	3	NR	22/05/2018	MaltodextrinCH	CaseinGR	1820	4597	6417	10	28
	5208	s2	4	NR	22/05/2018	MaltodextrinGR	CaseinCH	2439	3355	5794	8	18
	5209	s3	1	NR	22/05/2018	CaseinGR	MaltodextrinCH	1313	4335	5648	5	20
	5210	s3	2	NR	22/05/2018	CaseinCH	MaltodextrinGR	2543	4404	6947	11	24
	5211	s3	3	PR	22/05/2018	MaltodextrinCH	CaseinGR	3153	1464	4617	20	9
	5212	s3	4	PR	22/05/2018	MaltodextrinGR	CaseinCH	623	3215	3838	3	21
	5213	s4	1	PR	22/05/2018	CaseinGR	MaltodextrinCH	2998	1549	4547	19	11
	5214	s4	2	PR	22/05/2018	CaseinCH	MaltodextrinGR	397	2685	3082	9	9
	5215	s4	3	NR	22/05/2018	MaltodextrinCH	CaseinGR	4142	2192	6334	23	14
	5217	s4	4	NR	22/05/2018	MaltodextrinGR	CaseinCH	3390	1613	5003	9	13
